"","baseMean","log2FoldChange (cortex over medulla)","lfcSE","stat","pvalue","padj"
"SHARPIN",310.989570290557,0.434401352947773,0.205151868136013,2.11746233117297,0.0342206289929988,0.103618287250888
"MAF1",824.526985897786,0.166985244127404,0.177248878094494,0.942094787411749,0.346144112994483,0.539128821248206
"KIAA1875",55.4921979657027,-0.0144639551170489,0.274425961656223,-0.0527062200301882,0.957965983048972,0.978236819499808
"HGH1",167.47086078558,0.325866496335074,0.216387174308221,1.50594182569671,0.132082108230578,0.278501796161395
"MROH1",619.203956398046,0.106817469496948,0.278750832443879,0.383200539924679,0.701571077721697,0.826321084082701
"BOP1",122.587784411655,0.134512766325937,0.202414890351852,0.66453987694343,0.506344835286501,0.682798338492403
"SCX",5.71111851676924,0.0915000771360417,0.606790288250784,0.150793575486866,0.880138554333796,0.93532227469072
"HSF1",440.894595263786,-0.0054129358393523,0.20378310313686,-0.0265622407158899,0.978808890168979,0.989369576661432
"DGAT1",365.797974433176,-0.181125752719963,0.200761769671574,-0.902192449370549,0.366954645117725,0.560093344080026
"MIR6848",14.966141867196,-0.660614289757872,0.407510187829305,-1.62109883258817,0.104996444331077,0.237202074535881
"TMEM249",14.0002165155058,0.763319577286069,0.427914353223693,1.78381391401247,0.0744539078795816,0.185094910650356
"FBXL6",86.6182723248341,0.392115084323387,0.240314876097606,1.63167212405163,0.102748575465372,0.233524910924201
"SLC52A2",185.637353246781,0.276307955685462,0.259419438222528,1.06510120281907,0.286830135030394,0.476909643959053
"ADCK5",67.8367446221245,0.063190833076554,0.255037378221278,0.247770869969216,0.804311694657835,0.891290968568728
"CPSF1",492.290165133214,0.537194330301778,0.205365243455667,2.61579964195715,0.00890187759281857,0.0363576894591964
"MIR939",10.4485806016442,0.563255715209347,0.477121497698999,1.18052889657193,0.237789924503683,0.419547002321931
"MIR6849",1.24340492367684,0.428086995865133,0.731363363547966,0.58532737241364,0.558327613068774,NA
"SLC39A4",197.906945118478,1.58944766577727,0.36450189102587,4.36060197466703,1.2970511667133e-05,0.000148516151135944
"VPS28",657.440174960356,0.387066208847457,0.159472225282461,2.42717004896543,0.0152171214826396,0.0554018666102794
"TONSL",39.811203746331,0.0774607121163572,0.410378583966996,0.188754275058825,0.850285410750948,0.918142121208322
"TONSL-AS1",3.39427945776488,0.581464400996898,0.655121694702006,0.887567005793309,0.374773708156145,0.568303447255867
"MIR6893",0.20685605997265,0.0588394369704927,0.519601031942617,0.113239646100223,0.909840564756335,NA
"CYHR1",299.62095622999,0.0134732478598512,0.20581018115466,0.0654644380771739,0.947804219878464,0.97213235333789
"KIFC2",385.546201860037,0.115005355866694,0.290884695881041,0.395364065195531,0.692574225139867,0.819804705000496
"FOXH1",1.22328415143118,0.366129242635318,0.718327591617811,0.50969675522379,0.610263926585375,NA
"PPP1R16A",347.673779772216,0.79512158907033,0.307866115181021,2.58268627128,0.00980344251059124,0.0392297985606737
"GPT",224.433477614126,0.983041682891635,0.30444070798943,3.22900866110772,0.0012422013266469,0.00721120413581638
"MFSD3",154.081992049118,0.493945043144108,0.199714141462603,2.47326022847811,0.0133886612257374,0.0503070402609744
"RECQL4",21.8157276238382,-0.332125338746375,0.389803742136484,-0.852032196833262,0.394196222274193,0.586769198124426
"LRRC14",303.930172387648,-0.111213436639967,0.203177072846079,-0.547371979929149,0.584123201491764,0.740753240023681
"LRRC24",20.0612834197505,0.732601770071341,0.384972676897005,1.90299679441235,0.0570409635158489,0.152244011128724
"C8orf82",161.434951019713,0.200594763803831,0.29651072447851,0.676517735257731,0.498711989705058,0.676371874934199
"ARHGAP39",84.9328168457188,0.458060495784928,0.253814739117833,1.8047040821072,0.0711210007085345,0.179013908455213
"ZNF251",307.220790703073,-0.0445589697767709,0.188952524035295,-0.235820982039106,0.813571585962454,0.896565273739156
"ZNF34",120.057799480828,-0.160187623118333,0.194292036156601,-0.824468291583606,0.409673525369971,0.600944533019481
"RPL8",2217.53329964386,0.632250314851593,0.134738472454369,4.69242602602396,2.69984170786901e-06,3.80308637698383e-05
"ZNF517",38.0510111573911,-0.471841082302158,0.315571491514679,-1.49519552617829,0.134863420787656,0.282661719013306
"ZNF7",222.705400836866,0.0317701666360985,0.202413211679918,0.156956981080551,0.875278751916156,0.932881060503965
"COMMD5",173.503484918867,0.11618890217173,0.193152176743228,0.601540733999541,0.54747988942697,0.713966953350308
"ZNF250",453.869450881085,-0.332419628118594,0.143806241059121,-2.31157998199767,0.0208008408378628,0.0708437056192996
"ZNF16",132.380778740409,0.3344764067881,0.188957238506193,1.77011692927094,0.0767076639183233,0.189279906681887
"ZNF252P",860.66603954941,-0.453320860226622,0.172121230724758,-2.63373006524415,0.00844525991763793,0.0348571891474543
"TMED10P1",1.37923222911262,0.193691196684802,0.732232317369066,0.264521507847045,0.791378093986355,NA
"ZNF252P-AS1",30.7921444538448,-0.203426419313491,0.315751886962911,-0.644260344000368,0.519406626218393,0.692825242956342
"C8orf33",351.663326560535,0.0997883835423137,0.157785312504941,0.632431383872874,0.527105031835488,0.698351303811098
"DDX11L5",7.54545455406651,-0.676000189604753,0.556645501426928,-1.21441777194259,0.224588232320125,0.403619787868568
"WASH1",388.94793677179,0.0419279960380882,0.22830697649738,0.183647458703783,0.854290029589236,0.920961231692566
"FOXD4",12.0373422057285,0.281259767826182,0.473414968750691,0.594108311717322,0.552439672019167,0.717824747777583
"CBWD1",588.006067460264,0.479082117524558,0.1663282951228,2.88034045663038,0.00397245948087784,0.0188834077775159
"C9orf66",177.854863639381,2.78929506159633,0.470870744936152,5.92369581587521,3.14785492542531e-09,9.66065821940872e-08
"DOCK8",1139.48670454054,0.602475361066436,0.22160938100353,2.71863654118884,0.00655515942224243,0.0283709154481668
"KANK1",2329.28808621127,0.334191769143681,0.13682561429301,2.44246496440362,0.0145873454411347,0.0536905310279599
"LINC01230",69.9649873019497,-0.386259376718076,0.421768781110627,-0.915808362347148,0.359767416721684,0.552394782781262
"DMRT2",589.837406023191,-0.120074317055575,0.340805981868265,-0.352324558381691,0.724594872512689,0.841542654000739
"SMARCA2",2439.05739063175,-0.227675415673318,0.133796191378633,-1.70165842037321,0.0888194191715059,0.210672165845328
"VLDLR-AS1",11.4680457058386,-0.890124457026513,0.498197048436441,-1.7866915507029,0.0739873554582876,0.184215719719388
"VLDLR",620.336659179161,-0.582899110826796,0.197297888348035,-2.95441130012784,0.00313266191594479,0.0155049343564709
"KIAA0020",760.029215220138,0.894518437733995,0.167408529049469,5.3433265486113,9.12561497972859e-08,1.88281919181334e-06
"RFX3",525.57043559429,-0.434681201611538,0.171049493156702,-2.54125980492276,0.0110453809981131,0.0432105014871238
"RFX3-AS1",60.2158041577909,-0.361630671628829,0.374901888579927,-0.964600826628621,0.33474478522432,0.527468996842833
"GLIS3",1103.64775138262,-0.0308444250795577,0.143008112572611,-0.215683044302096,0.82923481884338,0.905934716251798
